"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.02.2024","1,65","1,70","1,73","1,61","9,19M","-1,20%"
"22.02.2024","1,67","1,79","1,81","1,65","10,87M","-5,11%"
"21.02.2024","1,76","1,79","1,80","1,74","6,37M","-2,76%"
"20.02.2024","1,81","1,84","1,88","1,79","6,62M","-2,16%"
"16.02.2024","1,85","1,88","1,91","1,84","6,95M","-3,65%"
"15.02.2024","1,92","1,92","1,98","1,86","8,38M","-1,54%"
"14.02.2024","1,95","1,75","1,96","1,75","8,46M","13,37%"
"13.02.2024","1,72","1,78","1,80","1,68","10,28M","-8,02%"
"12.02.2024","1,87","1,79","1,92","1,76","8,93M","4,47%"
"09.02.2024","1,79","1,78","1,81","1,72","6,33M","1,70%"
"08.02.2024","1,76","1,79","1,81","1,75","5,19M","-0,56%"
"07.02.2024","1,77","1,82","1,82","1,74","6,24M","-2,21%"
"06.02.2024","1,81","1,65","1,81","1,65","9,35M","9,04%"
"05.02.2024","1,66","1,76","1,76","1,65","7,22M","-4,60%"
"02.02.2024","1,74","1,76","1,77","1,70","8,08M","-2,79%"
"01.02.2024","1,79","1,83","1,87","1,72","8,77M","0,56%"
"31.01.2024","1,78","1,81","1,92","1,75","10,90M","-0,56%"
"30.01.2024","1,79","1,92","1,92","1,79","9,74M","-6,77%"
"29.01.2024","1,92","1,90","1,93","1,84","6,24M","1,59%"
"26.01.2024","1,89","1,96","2,05","1,88","8,91M","-3,08%"
"25.01.2024","1,95","2,01","2,06","1,95","7,31M","-2,99%"
"24.01.2024","2,01","2,12","2,16","2,00","6,01M","-3,83%"
"23.01.2024","2,09","2,10","2,16","2,06","6,82M","1,95%"
"22.01.2024","2,05","1,94","2,08","1,93","8,35M","6,77%"
"19.01.2024","1,92","1,96","1,96","1,82","9,59M","-1,03%"
"18.01.2024","1,94","2,00","2,02","1,90","6,95M","-1,02%"
"17.01.2024","1,96","1,90","1,97","1,87","8,05M","0,51%"
"16.01.2024","1,95","2,08","2,11","1,95","9,67M","-7,58%"
"12.01.2024","2,11","2,17","2,25","2,09","7,75M","-2,76%"
"11.01.2024","2,17","2,27","2,28","2,07","9,82M","-5,65%"
"10.01.2024","2,30","2,40","2,43","2,28","7,70M","0,88%"
"09.01.2024","2,28","2,27","2,32","2,23","6,60M","-2,98%"
"08.01.2024","2,35","2,28","2,40","2,20","8,91M","0,86%"
"05.01.2024","2,33","2,33","2,39","2,27","5,74M","-0,43%"
"04.01.2024","2,34","2,32","2,40","2,27","6,69M","1,30%"
"03.01.2024","2,31","2,29","2,32","2,22","9,01M","-2,53%"
"02.01.2024","2,37","2,39","2,54","2,35","8,73M","-3,27%"
"29.12.2023","2,45","2,55","2,57","2,37","11,34M","-3,54%"
"28.12.2023","2,54","2,67","2,69","2,51","10,41M","-5,93%"
"27.12.2023","2,70","2,66","2,73","2,60","11,59M","1,89%"
"26.12.2023","2,65","2,61","2,69","2,55","9,92M","1,92%"
"22.12.2023","2,60","2,47","2,65","2,40","11,57M","5,26%"
"21.12.2023","2,47","2,48","2,51","2,40","6,47M","4,66%"
"20.12.2023","2,36","2,58","2,61","2,35","12,23M","-10,61%"
"19.12.2023","2,64","2,48","2,65","2,47","10,83M","6,88%"
"18.12.2023","2,47","2,48","2,56","2,41","9,79M","-1,59%"
"15.12.2023","2,51","2,60","2,65","2,46","32,33M","-1,95%"
"14.12.2023","2,56","2,48","2,72","2,48","22,74M","4,49%"
"13.12.2023","2,45","2,22","2,46","2,16","15,50M","9,87%"
"12.12.2023","2,23","2,34","2,34","2,17","8,39M","-3,88%"
"11.12.2023","2,32","2,25","2,36","2,24","10,58M","-0,43%"
"08.12.2023","2,33","2,21","2,34","2,16","14,21M","4,48%"
"07.12.2023","2,23","2,02","2,24","1,99","16,34M","10,40%"
"06.12.2023","2,02","1,94","2,14","1,93","16,19M","5,76%"
"05.12.2023","1,91","1,91","1,93","1,84","9,83M","-1,04%"
"04.12.2023","1,93","1,98","2,13","1,92","27,87M","-17,52%"
"01.12.2023","2,34","2,19","2,35","2,17","11,26M","4,93%"
"30.11.2023","2,23","2,23","2,28","2,14","10,50M","1,36%"
"29.11.2023","2,20","2,15","2,26","2,12","10,86M","3,77%"
"28.11.2023","2,12","2,04","2,14","1,98","9,90M","2,42%"
"27.11.2023","2,07","2,07","2,09","1,98","8,93M","-1,43%"
"24.11.2023","2,10","1,91","2,11","1,89","6,49M","5,53%"
"22.11.2023","1,99","2,02","2,08","1,91","11,19M","-6,57%"
"21.11.2023","2,13","2,22","2,22","2,06","7,89M","-5,33%"
"20.11.2023","2,25","2,24","2,30","2,20","9,09M","2,74%"
"17.11.2023","2,19","2,11","2,21","2,07","9,46M","5,29%"
"16.11.2023","2,08","2,16","2,19","2,00","9,32M","-5,02%"
"15.11.2023","2,19","2,18","2,36","2,17","18,38M","2,82%"
"14.11.2023","2,13","1,98","2,13","1,97","16,69M","12,70%"
"13.11.2023","1,89","1,77","1,92","1,71","10,36M","5,59%"
"10.11.2023","1,79","1,89","1,91","1,77","12,08M","-3,76%"
"09.11.2023","1,86","1,81","2,08","1,76","37,49M","19,23%"
"08.11.2023","1,56","1,69","1,70","1,54","9,85M","-10,34%"
"07.11.2023","1,74","1,68","1,77","1,67","8,97M","2,96%"
"06.11.2023","1,69","1,84","1,86","1,65","10,29M","-8,65%"
"03.11.2023","1,85","1,72","1,88","1,71","14,70M","8,82%"
"02.11.2023","1,70","1,54","1,72","1,54","14,40M","14,09%"
"01.11.2023","1,49","1,48","1,51","1,43","5,31M","0,68%"
"31.10.2023","1,48","1,44","1,50","1,43","6,20M","2,78%"
"30.10.2023","1,44","1,43","1,48","1,38","6,91M","4,35%"
"27.10.2023","1,38","1,53","1,54","1,38","7,50M","-6,76%"
"26.10.2023","1,48","1,42","1,52","1,39","10,52M","4,23%"
"25.10.2023","1,42","1,54","1,54","1,41","10,24M","-7,19%"
"24.10.2023","1,53","1,60","1,64","1,52","9,39M","-0,65%"
