"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.02.2024","283,60","284,72","285,95","283,50","5,06M","-0,05%"
"22.02.2024","283,75","279,18","284,06","278,98","5,07M","2,53%"
"21.02.2024","276,76","274,63","276,97","273,53","4,71M","0,59%"
"20.02.2024","275,15","274,57","276,84","273,34","6,16M","-1,22%"
"16.02.2024","278,56","280,96","281,12","277,87","6,63M","-0,86%"
"15.02.2024","280,98","277,65","281,12","277,56","4,82M","1,23%"
"14.02.2024","277,56","276,47","277,64","274,71","4,22M","0,63%"
"13.02.2024","275,81","273,75","278,00","272,76","5,49M","0,27%"
"12.02.2024","275,07","276,43","276,67","274,24","3,68M","-0,49%"
"09.02.2024","276,43","275,00","277,18","274,09","4,62M","0,24%"
"08.02.2024","275,78","279,54","279,66","275,28","5,83M","-1,29%"
"07.02.2024","279,39","279,38","279,54","277,06","4,74M","0,95%"
"06.02.2024","276,76","274,80","276,88","274,03","4,40M","0,43%"
"05.02.2024","275,58","277,40","278,00","275,13","4,90M","-0,58%"
"02.02.2024","277,18","277,61","278,50","275,68","4,85M","0,05%"
"01.02.2024","277,05","273,39","277,19","273,36","7,06M","1,39%"
"31.01.2024","273,26","277,12","279,99","273,18","6,14M","-1,40%"
"30.01.2024","277,15","274,59","278,64","274,19","6,54M","1,28%"
"29.01.2024","273,66","266,97","275,07","266,71","6,56M","2,13%"
"26.01.2024","267,94","265,94","270,87","265,60","8,59M","-1,71%"
"25.01.2024","272,61","271,95","272,78","270,80","6,55M","0,35%"
"24.01.2024","271,65","272,57","272,86","271,08","4,95M","0,14%"
"23.01.2024","271,26","271,55","271,87","269,91","5,88M","0,02%"
"22.01.2024","271,20","272,24","272,35","270,36","5,98M","0,11%"
"19.01.2024","270,90","268,18","271,15","267,05","7,23M","1,03%"
"18.01.2024","268,14","267,88","268,78","266,42","6,67M","0,57%"
"17.01.2024","266,63","264,42","267,10","264,39","5,10M","0,52%"
"16.01.2024","265,24","263,52","265,66","262,35","6,14M","0,41%"
"12.01.2024","264,17","265,13","265,55","263,71","4,66M","0,05%"
"11.01.2024","264,03","265,46","266,19","262,40","5,58M","-0,20%"
"10.01.2024","264,56","264,97","265,37","262,86","4,33M","0,47%"
"09.01.2024","263,33","262,00","263,62","261,14","7,02M","0,30%"
